State,Year,Month,Temperature
MS,2004,4,62.3
MS,2004,5,72.6
MS,2004,6,77.4
MS,2004,7,79.5
MS,2004,8,76.8
MS,2004,9,74.7
MS,2004,10,70.2
MS,2004,11,58.8
MS,2004,12,45.5
MS,2005,1,50.1
MS,2005,2,51.6
MS,2005,3,53.8
MS,2005,4,62.8
MS,2005,5,69.4
MS,2005,6,77.7
MS,2005,7,81
MS,2005,8,82
MS,2005,9,77.9
MS,2005,10,64.1
MS,2005,11,56.7
MS,2005,12,44.2
MS,2006,1,51.5
MS,2006,2,46
MS,2006,3,57.1
MS,2006,4,68.4
MS,2006,5,71.6
MS,2006,6,78.6
MS,2006,7,82
MS,2006,8,83
MS,2006,9,73
MS,2006,10,63.4
MS,2006,11,53.5
MS,2006,12,49
MS,2007,1,46.2
MS,2007,2,46
MS,2007,3,61.3
MS,2007,4,61
MS,2007,5,72.2
MS,2007,6,79.2
MS,2007,7,79.1
MS,2007,8,84.2
MS,2007,9,76.7
MS,2007,10,66.5
MS,2007,11,55.1
MS,2007,12,51.9
MS,2008,1,43.5
MS,2008,2,50.1
MS,2008,3,56.3
MS,2008,4,63
MS,2008,5,71.1
MS,2008,6,79.2
MS,2008,7,81.2
MS,2008,8,78.5
MS,2008,9,74.1
MS,2008,10,62.6
MS,2008,11,52
MS,2008,12,48.3
MS,2009,1,45.1
MS,2009,2,50.6
MS,2009,3,57.6
MS,2009,4,62.8
MS,2009,5,71.8
MS,2009,6,80.2
MS,2009,7,79.4
MS,2009,8,78.7
MS,2009,9,75.8
MS,2009,10,62.6
MS,2009,11,54.7
MS,2009,12,44.3
MS,2010,1,40.6
MS,2010,2,40.7
MS,2010,3,52.3
MS,2010,4,65.1
MS,2010,5,74.4
MS,2010,6,82.2
MS,2010,7,82.7
MS,2010,8,83.8
MS,2010,9,77
MS,2010,10,65
MS,2010,11,55.7
MS,2010,12,42.3
MS,2011,1,42.2
MS,2011,2,49.8
MS,2011,3,57.8
MS,2011,4,67
MS,2011,5,70.6
MS,2011,6,82.2
MS,2011,7,82.9
MS,2011,8,83
MS,2011,9,72.5
MS,2011,10,61.3
MS,2011,11,56.1
MS,2011,12,48
MS,2012,1,50.8
MS,2012,2,52.2
MS,2012,3,65.4
MS,2012,4,65.8
MS,2012,5,74.3
MS,2012,6,78.2
MS,2012,7,81.9
MS,2012,8,79.5
MS,2012,9,74.4
MS,2012,10,62.1
MS,2012,11,52
MS,2012,12,51.6
MS,2013,1,49.1
MS,2013,2,49
MS,2013,3,50.4
MS,2013,4,62.1
MS,2013,5,68.9
MS,2013,6,78.9
MS,2013,7,78.8
MS,2013,8,79.6
MS,2013,9,77
MS,2013,10,65.4
MS,2013,11,51.1
MS,2013,12,46.7
MS,2014,1,38.5
MS,2014,2,46.3
MS,2014,3,51.6
MS,2014,4,62.7
MS,2014,5,70.8
MS,2014,6,78.6
MS,2014,7,77.5
MS,2014,8,79.8
MS,2014,9,76.5
MS,2014,10,66.5
MS,2014,11,48.8
MS,2014,12,50.2
MS,2015,1,43.8
MS,2015,2,41.9
MS,2015,3,57.7
MS,2015,4,67
MS,2015,5,72.3
MS,2015,6,79.2
MS,2015,7,82.8
MS,2015,8,80.1
MS,2015,9,76.3
MS,2015,10,66.5
MS,2015,11,59.2
MS,2015,12,56.7
MS,2016,1,43.7
MS,2016,2,50.9
MS,2016,3,60.2
MS,2016,4,65.2
MS,2016,5,70.5
MS,2016,6,80.2
MS,2016,7,82.4
MS,2016,8,82
MS,2016,9,79
MS,2016,10,69.2
MS,2016,11,58.2
MS,2016,12,49.4
